STT,Title,Content,Label
142,Barcelona gia tăng khoảng cách với Real Madrid lên 7 điểm,"Barcelona đã củng cố vị trí dẫn đầu tại La Liga với khoảng cách bảy điểm sau khi giành chiến thắng 1-0 trước Leganes, đội bóng đang đối mặt với nguy cơ xuống hạng. Chiến thắng này cũng kéo dài chuỗi trận bất bại của Barcelona lên 24 trận trên mọi đấu trường (20 thắng, 4 hòa).
Barcelona đã vượt qua Leganes với tỷ số tối thiểu (Ảnh: Getty).
Trước trận đấu ở vòng 31 La Liga, đội bóng của huấn luyện viên Borja Jimenez có lý do để lo lắng khi Barcelona vừa đánh bại Borussia Dortmund 4-0 tại UEFA Champions League. Tuy nhiên, Leganes đã nhập cuộc đầy tự tin, gây khó khăn cho đối thủ danh tiếng. Đội chủ nhà suýt chút nữa đã mở tỷ số khi Dani Raba thực hiện pha bứt tốc bên cánh trái và chuyền bóng cho cựu cầu thủ La Masia, Adria Altimira, nhưng cú sút của anh bị Wojciech Szczesny cản phá.
Barcelona dần kiểm soát trận đấu khi hiệp một trôi qua. Marko Dmitrovic đã phải trổ tài cứu thua sau cú sút của Jules Kounde. Các cơ hội tiếp theo thuộc về Raphinha, Lamine Yamal và Fermin Lopez nhưng đều không thành công. Tuy nhiên, đội khách đã phải chịu tổn thất khi Alejandro Balde phải rời sân vì chấn thương. Hiệp một kết thúc với sự đe dọa từ Raba khi anh tung cú sút chân trái nhưng bóng đi chệch cột dọc.
Leganes đã thể hiện tinh thần chiến đấu đáng khen ngợi, nhưng hàng phòng ngự của đội chủ sân Municipal de Butarque bị phá vỡ chỉ ba phút sau khi hiệp hai bắt đầu. Hậu vệ Jorge Saenz vô tình đưa bóng vào lưới nhà từ đường chuyền của Raphinha, khiến thủ thành Dmitrovic không thể cản phá.
Trung vệ Saenz đá phản lưới nhà giúp Barcelona vượt lên dẫn 1-0 (Ảnh: Getty).
Sau khi có bàn thắng vượt lên dẫn trước, Barcelona tiếp tục làm chủ trận đấu. Fermin có cơ hội nhân đôi cách biệt nhưng lại bỏ lỡ đáng tiếc. Robert Lewandowski đang tìm kiếm bàn thắng thứ 100 cho Barcelona, anh cũng suýt ghi bàn khi cú đánh đầu đi chệch cột dọc.
Dù không phải là màn trình diễn ấn tượng như trận đấu trước đó tại Estadi Olimpic Lluis Companys, tuy nhiên điều quan trọng nhất là chiến thắng. Ba điểm quan trọng này giúp Barcelona tạo áp lực lên Real Madrid, đội sẽ gặp Deportivo Alaves vào chủ nhật. Trong khi đó, Leganes tiếp tục chuỗi trận không thắng (1 hòa, 4 thua) và đứng thứ 19, kém nhóm an toàn hai điểm.
Đội hình thi đấu
Leganes: Dmitrovic; Rosier, Altimira (Garcia, 76'), Gonzalez, Saenz, Hernandez; Cisse (Munir El Haddadi, 76'), Tapia, Rodriguez (Neyou, 67'); Dani Raba; Diomande (Cruz, 59).
Barcelona: Szczesny (GK); Kounde, Araujo (De Jong, 46'), Inigo, Balde (Martin, 41'); Garcia (Cubarsi, 80), Pedri, Lopez (Gavi, 67'); Yamal, Raphinha, Lewandowski (Torres, 67').",The_thao
224,Chủ tịch LĐBĐ Indonesia nói thẳng lý do sa thải HLV Shin Tae Yong,"HLV Shin Tae Yong bị sa thải ngay sau khi thất bại ở AFF Cup 2024 với đội hình gồm nhiều cầu thủ U22 Indonesia. Sau đó, PSSI đã quyết định bổ nhiệm HLV người Hà Lan Patrick Kluivert để dẫn dắt đội tuyển quốc gia Indonesia, tiếp tục hành trình chinh phục giấc mơ giành vé dự World Cup.
HLV Shin Tae Yong bị sa thải vì không còn phù hợp với kế hoạch dài hạn của Indonesia (Ảnh: PSSI).
Nhiều quan điểm cho rằng PSSI đã quá khắt khe với HLV Shin Tae Yong khi ông vẫn đang làm tốt công việc ở đội tuyển Indonesia. Hôm qua, Chủ tịch PSSI, Erick Thohir, đã giải thích về quyết định này.
Ông khẳng định PSSI quyết định sa thải HLV người Hàn Quốc không phải vì vấn đề cá nhân hay danh tiếng mà xuất phát từ chiến lược phát triển lâu dài củabóng đáIndonesia.
Người đứng đầu bóng đá Indonesia cho biết: ""Nếu chỉ quan tâm đến danh tiếng, tôi đã không sa thải Shin Tae Yong. Quyết định này không đơn thuần là giữ ai, loại ai, mà là hướng tới kế hoạch dài hạn. Chúng tôi có những mục tiêu lớn hơn và cần khắc phục những điểm yếu còn tồn tại"".
Chia sẻ về việc lựa chọn HLV Patrick Kluivert, ông Erick Thohir cho biết: ""Chúng tôi đã đánh giá rất kỹ về Kluivert. Ông ấy là một HLV có cá tính mạnh mẽ và khả năng lãnh đạo tốt. Đây là người mà đội tuyển Indonesia cần để tiến xa hơn"".
Thực tế, ông Erick Thohir đang muốn ""Hà Lan hóa"" bóng đá Indonesia. Bằng chứng là việc sau khi bổ nhiệm HLV Patrick Kluivert, ông đã bổ sung thêm nhiều chuyên gia Hà Lan như các trợ lý HLV Denny Landzaat, Alex Pastoor, và Gerald Vanenburg, hay giám đốcthể thaoJordi Cruyff.
HLV Patrick Kluivert rất phấn khích trước những trận đấu đầu tiên ở đội tuyển Indonesia (Ảnh: PSSI).
Trong khi đó, HLV Patrick Kluivert tỏ ra phấn khích khi sắp dẫn dắt đội tuyển Indonesia. Chiến lược gia người Hà Lan cho biết: ""Tôi thực sự mong chờ ngày làm việc với các cầu thủ Indonesia. Tôi không thể chờ đợi thêm nữa để bắt đầu tập luyện và chuẩn bị cho những trận đấu quan trọng sắp tới. Chúng tôi đã có sự chuẩn bị hoàn hảo. Phía trước sẽ là những thời khắc đầy phấn khích"".
Để chuẩn bị cho hai trận đấu với Australia (20/3) và Bahrain (26/3) ở vòng loại thứ baWorld Cup2026, HLV Kluivert đã triệu tập 27 cầu thủ. Ông có thể bổ sung thêm ba cầu thủ nhập tịch là Emil Audero, Joey Pelupessy, và Dean James khi họ vừa hoàn tất thủ tục.
Ở thời điểm này, đội tuyển Indonesia đang xếp thứ 3 bảng C vòng loại World Cup 2026 với 6 điểm, bằng điểm với Saudi Arabia, Bahrain, và Trung Quốc và kém Australia 1 điểm.",The_thao
192,Ngôi sao Hàn Quốc giúp PSG tiếp tục dẫn đầu Ligue 1,"Bàn thắng ở phút 18 của tiền vệ trẻ Senny Mayulu đã giúp PSG chơi dễ dàng hơn trên sân Parc des Princes. Bradley Barcola chọc khe thông minh tạo cơ hội cho Mayulu băng xuống, dứt điểm gọn gàng mở tỷ số trận đấu giúp đội chủ nhà, giành lợi thế trước khi hiệp 1 kết thúc.
Senny Mayulu tỏa sáng giúp PSG trở lại ngôi đầu bảng Ligue 1 (Ảnh: Reuters).
Bước sang hiệp hai, tiền đạo Marco Asensio nhân đôi cách biệt cho đội chủ nhà sau pha phản công mẫu mực. Desire Doue tung cú sút chéo góc nhưng bị thủ thành bên phía Strasbourg cản phá, bóng tìm đến đúng vị trí của Asensio và tiền đạo người Tây Ban Nha sút bồi dễ dàng nâng tỉ số lên 2-0.
PSG nắm thế chủ động và có thêm 2 bàn thắng của Barcola nhờ công của cầu thủ người Hàn Quốc Lee Kang In ở phút 66 và 90. Đội khách Strasbourg có 2 bàn gỡ ở phút 58 và 90+2 do công của hai cầu thủ vào sân thay người Sekou Mara và Pape Daouda Diong.
Phát biểu sau trận đấu, HLV Enrique cảm thấy hài lòng với màn trình diễn của các cầu thủ đặc biệt là Mayulu. HLV Tây Ban Nha cũng thừa nhận PSG không đạt phong độ cao nhất sau quãng nghỉ quốc tế.
""PSG đã không đạt phong độ tốt nhất sau quãng nghỉ quốc tế, có những cầu thủ thi đấu nhiều và phải di chuyển quãng đường xa nên các cầu thủ bị ảnh hưởng nhiều về thể lực"", Enrique nói. ""Trong hiệp hai, toàn đội đá tốt hơn và tạo rất nhiều cơ hội. Điều quan trọng là chúng tôi phải ghi bàn, bất kể ai ghi bàn, và vẫn phải tạo cơ hội"".
Chiến thắng 4-2 trước Strasbourg giúp PSG trở lại đỉnh bảng Ligue 1 với 20 điểm, bằng AS Monaco nhưng hơn về hiệu số. Đoàn quân HLV Enrique vẫn đang bất bại tại Ligue 1 với 6 chiến thắng và 2 trận hòa sau 8 vòng đấu. Trận đấu tiếp theo, PSG sẽ làm khách trên sân của Marseille vào lúc 2h45 ngày 28/10.",The_thao
148,Tiger Woods và con trai tiếp tục tham dự PNC Championship,"PNC Championship là giải đấu dành cho các cặp cha con nổi tiếng trong lànggolfthế giới. Quy định của giải đấu này là chỉ cần một trong hai người (cha hoặc con) là golfer chuyên nghiệp, người còn lại có thể là vận động viên (VĐV) nghiệp dư, thậm chí chưa thành VĐV vẫn được chấp nhận tham dự.
Tiger Woods và con trai Cahrlie Woods (Ảnh: Getty).
Năm nay, giải tiếp tục có sự xuất hiện của huyền thoại làng golfthế giớiTiger Woods và con trai của VĐV Charlie Woods (14 tuổi). Thành tích tốt nhất của cha con Tiger Woods là hạng nhì giải đấu này năm 2021, chỉ khoảng 10 tháng sau khi Tiger Woods gặp tai nạn giao thông rất nặng năm đó.
Tiger Woods hiện hạn chế thi đấu các giải chuyên nghiệp trên PGA Tour (hệ thống các giải golf danh giá hàng đầu thế giới, tương đương các giải Masters trong môn quần vợt), vì lý do sức khỏe.
Chỉ có giải PNC Championship, Tiger Woods thi đấu trọn vẹn, do ở PNC Championship các golfer không cần phải đi bộ giữa các hố đấu (được phép sử dụng xe chuyên dụng). Ngoài ra, ở PNC Championship, Tiger Woods muốn tham dự để ủng hộ con trai mình.
Trước giải đấu năm nay, Tiger Woods nói: ""Giải đấu là món quà tuyệt vời khi có thể chia sẻ tình yêu chơi golf của tôi với Charlie. Cha con tôi thật sự mong muốn được thi đấu tại PNC Championship năm nay"".
""Cha con tôi được cùng nhau thi đấu với rất nhiều cặp cha con giỏi trong môn golf. Đây là một dịp rất đặc biệt"", Tiger Woods nói thêm.
PNC Championship 2023 diễn ra từ ngày 16 đến ngày 17/12. Ngoài cha con Tiger Woods, giải năm nay có sự hiện diện của Justin Thomas (cựu số một thế giới) và người cha Mike Thomas,Nelly Korda(cựu nữ golfer số một thế giới, đương kim vô địch Olympic) và người cha Petr Korda.
Ngoài ra, Lee Trevino (84 tuổi) và con trai Daniel Trevino là cặp cha con thi đấu liên tục hàng năm ở giải đấu này, từ khi PNC Championship ra đời từ năm 1995 đến giờ.",The_thao
128,Hàng loạt tay golf mạnh tham dự giải Memorial Tournament,"Trừ một vài taygolfđã chuyển sang thi đấu ở hệ thống LIV Golf của các tỷ phú Saudi Arabia, những golfer mạnh nhất thế giới đều có mặt tại The Memorial Tournament 2024.
Tân vô địch PGA Championship Xander Schauffele có mặt tại The Memorial Tournament (Ảnh: Getty).
Danh sách này có số mộtthế giớiScottie Scheffler (Mỹ), cựu số một thế giới Rory McIlroy (Bắc Ireland), Justin Thomas, Jordan Spieth (đều là người Mỹ), cựu số 2 thế giới Viktor Hovland (Na Uy), Collin Morikawa (Mỹ), cựu vô địch FedEx Cup play-off Patrick Cantlay (Mỹ).
Ngoài ra, giải còn có sự hiện diện của đương kim vô địch Olympic, đồng thời là tân vô địch PGA Champinship Xander Schauffele (Mỹ), cùng đương kim Á quân Olympic Hideki Matsuyama (Nhật Bản).
Số một thế giới Scottie Scheffler cũng hiện diện tại giải (Ảnh: Getty).
The Memorial Tournament là giải đấu thuộc hệ thống PGA Tour (hệ thống các giải golf danh giá dành cho nam, tương đương với tính chất các giải Master trong môn quần vợt), có giá trị tiền thưởng khá cao. Tổng giá trị tiền thưởng của giải lên đến 20 triệu USD (hơn 508 tỷ đồng).
Giải đấu sẽ diễn ra từ ngày 7/6 - 10/6 (theo giờ Việt Nam), tại cụm sân Muirfield Village Golf Club tại Dublin (bang Ohio, Mỹ).",The_thao
151,Các tay golf mạnh nhất bước vào giải major đầu tiên trong năm 2025,"Masters Tournament là một trong 4 giải thuộc hệ thống major (tương đương với tính chất các giải Grand Slam trong môn quần vợt), nên mức độ cạnh tranh của giải đấu này rất cao.
Scottie Scheffler là ứng cử viên nặng ký nhất cho ngôi vô địch Masters Tournament 2025 (Ảnh: Getty).
Hầu hết các golfer mạnh nhấtthế giớihiện nay đều góp mặt tại Masters Tournament 2025. Đáng kể nhất có số một thế giới, đồng thời là đương kim vô địch Olympic Paris 2024 Scottie Scheffler (Mỹ).
Scottie Scheffler cũng được đánh giá là ứng cử viên hàng đầu cho ngôi vô địch giải năm nay. Cạnh tranh ngôi vô địch với taygolfngười Mỹ sẽ là số 3 thế giới, đồng thời là cựu vô địch Olympic Tokyo 2020 Xander Schauffele (Mỹ), số hai thế giới Rory McIlroy (Bắc Ireland).
Cựu số một thế giới Brooks Koepka dù đã chuyển sang thi đấu ở hệ thống LIV Golf, nhưng vẫn được mời về tham dự giải (Ảnh: Getty).
Chưa hết, giải còn có sự hiện diện của các cựu số một thế giới Jordan Spieth (Mỹ) và Justin Thomas (Mỹ), các cựu số hai thế giới Collin Morikawa (Mỹ) và Viktor Hovland (Na Uy).
Tay golf hai lần giành huy chương đồng các kỳ Olympic Paris 2024 và Tokyo 2020 Hideki Matsuyama (Nhật Bản) cũng có mặt tại giải năm nay.
Ngoài ra, do đây là giải major nên các golfer đã chuyển sang thi đấu ở hệ thống LIV Golf (hệ thống các giải golf được điều hành bởi các tỷ phú Saudi Arabia) như Jon Rahm (Tây Ban Nha), Brooks Koepka (Mỹ), hay Bryson DeChambeau (Mỹ) cũng được mời về tham dự giải.",The_thao
136,"Đức Sơn, Phương Anh vô địch giải golf VGA Junior Tour Final Leg 2023","Quán quân toàn giải và bảng U18 Nam gọi tên Nguyễn Đức Sơn cùng tổng điểm (+4) sau 3 vòng thi. Xuất phát từ hố 10, Nguyễn Đức Sơn nhanh chóng ghi điểm birdie ở hố 11 nhưng mắc 2 bogey liên tiếp tại hố 14 và 15. Bước sang chặng sau, Quán quân VGA Junior Tour 4th Leg mang về thêm 3 birdie ở hố 5, 8 và 9, mắc 4 bogey và hoàn thành phần thi với (+2) gậy.
Tuy chỉ về nhì với tổng điểm (+13) sau 3 vòng thi, Đoàn Uy là VĐV duy nhất của bảng U18 Nam ghi điểm âm trong ngày thi đấu hôm nay. Cùng nhóm đấu với Nguyễn Đức Sơn, Đoàn Uy khởi động vòng chung kết bằng điểm birdie ở hố 12 nhưng lại mắc bogey ở ngay hố tiếp theo.
Kết thúc nửa chặng đua đầu, tuyển thủ sinh năm 2007 gỡ điểm bằng 2 birdie liên tiếp ở hố 15 và hố 16, mắc 1 bogey ở hố 18. Sang đến nửa chặng đua về đích, Đoàn Uy ẵm về thêm 4 birdie ở hố số 2, 5, 7 và 8, chỉ mắc 1 bogey để khép lại vòng đấu với tổng điểm (-4). Xếp Vị trí thứ 3 là Nguyễn Đức Thành Nhân với tổng điểm sau 3 vòng đấu là (+56).
Bảng U18 Nữ là trận so tài giành ngôi đầu bảng giữa Nguyễn Kim Phương Anh và Nguyễn Phương Quỳnh. Với tổng điểm 3 vòng là (+38), Nguyễn Kim Phương Anh trở thành Quán quân bảng U18 Nữ. Vị trí Á quân thuộc về Nguyễn Phương Quỳnh cùng tổng điểm 3 vòng là (+41).
Quán quân bảng U15 Nam thuộc về VĐV Trần Thế Bảo với tổng điểm 3 vòng là (+12). Trần Thế Bảo mang về (+5) gậy tại vòng chung kết của giải đấu. Trong khi đó, Nguyễn Trọng Hoàng giành vị trí nhì bảng cùng tổng điểm (+14) qua 3 vòng thi và đạt (+4) gậy trong ngày thi đấu hôm nay. Lê Minh Nghĩa đứng thứ ba trên bảng xếp hạng với tổng điểm qua 2 ngày thi đấu là (+19)
Tại bảng U12 Nam, Nguyễn Văn Hòa dẫn đầu cùng tổng điểm (+14) sau 2 ngày thi đấu và đạt (+4) tại vòng chung kết. Xếp vị trí thứ hai là Nguyễn Quốc Bảo Huy với tổng (+22) gậy và vị trí thứ ba là Nguyễn Xuân Vương với tổng (+23) gậy.
Bảng U12 Nữ chứng kiến màn tranh giành tỉ số gay cấn giữa Nguyễn Khánh Linh và Phạm Nguyễn Khương Di. Với điểm số 2 vòng lần lượt là 87-85, Nguyễn Khánh Linh đã giành được vị trí đầu bảng cùng tổng điểm (+26). Á quân bảng U12 Nữ ghi được tổng (+28) điểm sau 2 ngày thi đấu và mang về (+9) tại vòng chung kết.
Lê Nhật Bình là VĐV gây ấn tượng nhất bảng U9 khi ghi tới 8 birdie trong ngày thi đấu hôm nay. Với tổng điểm 2 vòng là (-1), Lê Nhật Bình đã trở thành Quán quân bảng U9. Cách biệt 3 gậy với vị trí dẫn đầu, Phạm Hồng Quang về nhì cùng tổng điểm (+4) qua hai ngày thi đấu. Vũ Trần Anh Khôi xếp hạng ba với tổng điểm 2 vòng là (+5).",The_thao
276,Đội trưởng Indonesia tuyên bố gây sốc về khả năng dự World Cup,"Indonesia đang xếp thứ 4 bảng C vòng loại thứ baWorld Cup2026 với 9 điểm sau 7 trận. Họ hơn Bahrain, Trung Quốc 3 điểm, kém đội xếp thứ hai là Australia 4 điểm và ít hơn đội xếp thứ ba là Saudi Arabia 3 điểm. Đội bóng xứ Vạn đảo chỉ còn hai trận đấu với Trung Quốc và Nhật Bản vào tháng 6 để quyết định số phận của mình.
Jay Idzes tin rằng việc tham dự World Cup chỉ là vấn đề thời gian với Indonesia (Ảnh: Getty).
Mặc dù cơ hội giành vé tham dự World Cup 2026 ngay từ vòng loại thứ ba (nằm trong top 2) của Indonesia rất thấp nhưng đội trưởng Jay Idzes vẫn tự tin vào khả năng làm nên điều thần kỳ của đội nhà.
Phát biểu trên kênh YouTube của giải Serie A, cầu thủ đang khoác áo CLB Venezia cho biết: ""Khi nào Indonesia có thể giành vé tham dự World Cup ư? Tôi chắc chắn đó chỉ là vấn đề thời gian.
Bản chất của con người là luôn ham muốn nhiều hơn. Nhưng đối với tôi, nếu giúp đội tuyển Indonesia giành vé tham dự World Cup sẽ là một trong những thành tựu lớn nhất cuộc đời mình"".
Jay Idzes là cầu thủ duy nhất của Indonesia thi đấu ở 5 giải vô địch quốc gia hàng đầu châu Âu. Cầu thủ này đang khoác áo CLB Venezia ở giải Serie A. Ở mùa giải này, trung vệ gốc Hà Lan đã đá chính tới 28/30 trận đấu cho Venezia ở giải đấu cao nhất nước Italy. Trong đó, anh đã làm nên lịch sử khi từng ghi bàn vào lưới Juventus.
Chia sẻ về khoảnh khắc đó, Jay Idzes cho biết: ""Đó là khoảnh khắc đáng tự hào. Với tư cách là người Indonesia, tôi nghĩ đội tuyển quốc gia có tiềm năng phát triển. Tôi muốn đưa Indonesia lên bản đồbóng đáthế giới"".
Jay Idzes muốn đưa bóng đá Indonesia lên bản đồ bóng đá thế giới (Ảnh: AFC).
Với tư cách đội trưởng của Garuda (biệt danh của đội tuyển Indonesia), Jay Idzes luôn nỗ lực kêu gọi tinh thần đoàn kết giữa các cầu thủ gốc gác nước ngoài và những cầu thủ bản địa, để biến Indonesia trở thành đội bóng thống nhất.
Gần đây, Jay Idzes tuyên bố: ""Chúng tôi sinh ra ở đâu không quan trọng. Vì chúng tôi cùng chiến đấu vì màu cờ sắc áo của Indonesia. Liên đoàn bóng đá Indonesia đã thu hút các cầu thủ từ khắp nơi trênthế giớivề phát triển đội tuyển. Những cầu thủ mới đều hòa nhập tốt tại đây. Chúng tôi muốn biến Indonesia trở thành đội bóng mà mọi đối thủ đều phải tôn trọng"".",The_thao
108,Khởi tranh môn golf Olympic Paris 2024: Sự áp đảo của đội tuyển Mỹ,"Nội dung đơn nam trong môngolftại Olympic Paris 2024 sẽ diễn ra từ ngày 1 - 4/8 (theo giờ châu Âu). Đội tuyển golf nước Mỹ là đội tham dự với nhiều VĐV nhất (4 người, các đội khác đa số chỉ có 2 người, do giới hạn số lượng VĐV từ phía Ban tổ chức các kỳ Olympic).
Xander Schauffele đạt phong độ rất cao trước Olympic Paris 2024 (Ảnh: Getty).
Trong số các VĐV của đội tuyển golf nước Mỹ, có số mộtthế giớiScottie Scheffler, số 3 thế giới Xander Schauffele, cựu số 2 thế giới Collin Morikawa.
Trong số này, Xander Schauffele và đương kim vô địch Olympic, đồng thời đang đạt phong độ rất cao trong thời gian gần đây.
Xander Schauffele vô địch đến 2 giải major (tương đương với tính chất các giải Grand Slam trong môn quần vợt), gồm PGA Championship và The Open Championship, chỉ trong vòng 2 tháng qua.
Đối thủ chính của Xander Schauffele là đồng hương, đồng đội Scottie Scheffler (Ảnh: Getty).
Đối thủ mạnh nhất của các golfer Mỹ có thể kể đến số 2 thế giới Rory McIlroy, thành viên đội Ireland, cựu số một thế giới Jon Rahm (Tây Ban Nha), đương kim Á quân Olmpic Hideki Matsuyama (Nhật Bản), hoặc cựu số 2 thế giới Viktor Hovland (Na Uy)…
Thậm chí, ngay trong nội bộ đội tuyển Mỹ, sự cạnh tranh giữa Xander Schauffele và Scottie Scheffler cũng rất quyết liệt. Scottie Scheffler muốn có lần vô địch đầu tiên tại Olympic, trong khi Xander Schauffele muốn đi vào lịch sử với tư cách người 2 lần liên tiếp giành HCV Thế vận hội, trong môn golf.
Môn golf tại Olympic Paris 2024 chỉ thi đấu các nội dung cá nhân nam, nữ, không thi đấu các nội dung đồng đội.",The_thao
67,"Man City thua cay đắng Real Madrid, Joe Cole tiết lộ sự thật đau lòng","""Chúng ta đã nói vềMan Cityvà ca ngợi họ đã chơi tốt như thế nào trong thập kỷ qua. Nhưng có vẻ như bây giờ họ không còn giữ được điều đó nữa"", Joe Cole bày tỏ trên kênhTNT Sportssau thất bại 2-3 của Man City trước Real Madrid trên sân nhà Etihad ở lượt đi vòng play-offChampions Leaguediễn ra rạng sáng 12/2 (giờ Việt Nam).
Erling Haaland lập cú đúp nhưng vẫn cay đắng chứng kiến đội nhà thua ngược 2-3 trước Real Madrid (Ảnh: Getty).
Mặc dù Erling Haaland đã lập cú đúp giúp Man City dẫn trước đội khách với tỷ số 2-1 cho đến phút 80, nhưng những sai lầm của hàng thủ khiến đoàn quân của HLV Pep Guardiola phải trả giá khi để Real Madrid có 2 bàn thắng ở những phút cuối và ngược dòng giành chiến thắng chung cuộc 3-2.
Chính vì vậy, Joe Cole nhấn mạnh rằng những sai lầm thường xuyên xuất hiện trong màn trình diễn của Man City khiến đoàn quân của HLV Pep Guardiola chỉ còn là cái bóng của chính mình trong quá khứ.
""Rõ ràng thủ môn Ederson ra sân và đưa ra những quyết định tồi, Mateo Kovacic ra sân và hất bóng lỗi để dẫn đến bàn thắng thứ ba của Real khi anh ấy thường rất tự tin với quả bóng.
Nhiều điều mà Man City đang làm lúc này khiến họ phải trả giá. Đó là những gì xảy ra, cũng như mặt trái, khi mọi thứ diễn ra tốt đẹp, khi bạn đang giành chiến thắng và mong đợi ghi bàn.
Nỗi sợ hãi đó đã len lỏi vào các cầu thủ. Tôi không biết kết cục sẽ ra sao, vì họ đã thúc đẩy Real Madrid, chơi ngang ngửa với họ trong rất nhiều khía cạnh của trận đấu. Nhưng Real Madrid đã vùng lên, họ biết khi nào làm điều mình cần, họ rất mạnh ở khía cạnh này.
Còn Man City trông giống như một nhóm cầu thủ, một đội bóng và một CLB đang cố gắng tìm lại hình ảnh trong quá khứ"", Joe Cole bày tỏ.
Nỗi thất vọng của các cầu thủ Man City sau trận thua ngay trên sân nhà Etihad (Ảnh: Getty).
Cựu hậu vệ của Man City, Joleon Lescott lại nhận định rằng các cầu thủ của Pep Guardiola đã nhanh chóng sụp đổ sau bàn gỡ hòa 2-2 dưới áp lực phải giữ vững lợi thế dẫn trước, nhưng cũng nhấn mạnh Real Madrid thường chơi rất hay ở đấu trường Champions League.
""Tôi nghĩ tình hình sẽ tệ hơn khi Man City dẫn trước. Khi Real Madrid bị dẫn trước, họ chơi với sự thoải mái và không sợ hãi kết quả. Hôm nay, điều đó đã xảy ra dù Man City chơi với phong độ tốt nhất.
Không có đội bóng nào đáng sợ như Real Madrid, đặc biệt là tại đấu trường Champions League. Trong khi đó Man City đang rất thiếu sự tự tin và cả sự may mắn. Vì họ thiếu tự tin nên mới xảy ra những sai lầm của Kovacic của Rico Lewis và cả Erdeson.
Mọi thứ đều chống lại Man City khi sự tự tin của họ bị hạ gục. Lẽ ra Man City phải có được điều gì đó vì họ đã dẫn trước, nhưng đáng tiếc đối thủ của họ là Real Madrid"", Joleon Lescott nhận định.",The_thao
